id,br_arcade
a-20g,2.7
a-26b,5.3
a-26b_10,5.0
a-26c,5.3
a-26c-45-dt,5.3
a-35b,2.7
a2d,9.0
a5m4,1.3
a5m4_hagiri,1.3
a6m2_mod11,3.3
a6m2_n_zero,2.7
a6m2_zero,3.7
a6m2_zero_china,3.7
a6m2_zero_usa,3.7
a6m3_mod22ko_zero,4.7
a6m3_mod22_zero,4.3
a6m3_zero,4.3
a6m5hei,5.3
a6m5ko,5.3
a6m5otsu,5.3
a6m5_zero,4.7
a6m6c,5.3
a7he1,2.3
a7m1,5.3
a7m2,5.3
alpha_jet_a,9.0
alpha_jet_a_jabog41,9.0
alpha_jet_a_thailand,9.0
alpha_jet_e,9.0
alpha_jet_th_phase_1,10.7
amx,11.0
amx_a_1a_brazil,11.3
am_1_mauler,5.7
arado-196a-3,1.7
arado-196a-5,1.7
arado-234,6.3
arado-234c-3,8.0
arado_234b_2_mt,6.7
ariete,9.3
ar_2,2.7
attaker_fb1,7.3
attaker_fb2,7.3
avenger_mk1,1.7
av_8a,9.7
av_8b_na,11.3
av_8b_plus,13.3
av_8b_plus_italy,13.3
av_8c,9.7
av_8s_late_thailand,11.3
av_8s_thailand,9.7
a_10a_early,10.0
a_10a_late,10.3
a_10c,11.7
a_20g_30_ussr,3.7
a_29_hudson,2.3
a_4b,9.0
a_4e_early,9.0
a_4e_early_iaf,9.0
a_4e_late_iaf,9.0
a_4h,8.7
a_4n,9.7
a_4ptm_malaysia,9.7
a_5c,11.0
a_6e_tram,10.3
a_7d,11.0
a_7e,11.0
a_7e_greece,11.0
a_7e_thailand,11.0
a_7h_greece,11.0
a_7k,11.7
b-17e,4.7
b-17e_japan,4.7
b-17e_late,4.7
b-17g,5.0
b-17g_iaf,5.0
b-29,6.7
b-57,8.0
b-57b,8.3
b5n2,1.0
b6n1,1.7
b6n2,2.0
b6n2a,2.0
b7a2,4.0
b7a2_homare_23,4.0
ba_65_a80,1.7
ba_65_k14_l,1.7
bb-1,1.7
beaufighter_mk1_40mm,2.0
beaufighter_mk21,3.0
beaufighter_mk6c,2.3
beaufighter_mkx,2.7
beaufort_mkviii,1.3
be_6,5.0
bf-109a_1,1.3
bf-109b_2,1.7
bf-109c_1,2.3
bf-109c_1_promo,2.3
bf-109e-1,2.3
bf-109e-3,2.7
bf-109e-3_japan,3.0
bf-109e-4,3.0
bf-109e-7,3.0
bf-109f-1,3.0
bf-109f-2,3.0
bf-109f-4,4.3
bf-109f-4_hungary,4.3
bf-109f-4_trop,4.3
bf-109f-4_usa,4.3
bf-109g-10,5.7
bf-109g-14,5.7
bf-109g-14as,5.7
bf-109g-2,5.3
bf-109g-2_finland,5.3
bf-109g-2_hungary,5.3
bf-109g-2_romania,5.3
bf-109g-6,5.3
bf-109g-6_erla_finland,5.3
bf-109g-6_finland,5.3
bf-109k-4,6.3
bf-109z,4.7
bf-110c-4,3.0
bf-110c-6,3.0
bf-110f-2,3.3
bf-110g-2,3.7
bf2c_1,1.0
bf_109t_2,3.0
bf_110g_4,3.7
bf_110g_4_hungary,3.7
bi,6.7
blenheim_mkiv,1.3
boomerang_mki,3.3
boomerang_mkii,3.3
boston_mk_1,2.3
breda_88,1.7
brigand_b1,3.7
br_20m_m1,1.7
br_20_dr,1.7
br_693_ab2,2.3
btd-1,3.7
buccaneer_s1,9.7
buccaneer_s2,10.3
buccaneer_s2b,10.7
bv-138c-1,1.3
bv-155b-1,4.0
bv-238,3.7
b_10b,1.3
b_18a,1.3
b_239_finland,2.7
b_24d,4.7
b_25j_1,3.7
b_25j_20,4.0
b_25j_30_china,4.0
b_25j_30_vvs_ussr,4.0
b_26b_c,4.3
b_26b_indonesia_kalong,4.3
b_26c_france,4.3
b_34,2.7
b_48_firecrest,2.7
b_52h,8.7
b_66b,9.0
canberra_bimk6,9.0
canberra_bmk2,8.7
caudron_cr714,1.3
ca_27_mk32_malaysia,9.3
ca_27_mk32_raaf,9.3
cf_188a_canada,12.7
corsair_fmk2,2.7
cr_32,1.0
cr_32_bis,1.7
cr_32_quater,1.0
cw_21,2.0
c_3604,2.7
d3a1,1.3
d4y1,2.0
d4y2,2.0
d4y3,3.0
db_3a_china,2.7
db_3b,2.7
db_7,2.3
db_lk,2.7
dh_110_sea_vixen,8.0
douglas_ad_2,5.0
douglas_ad_4,5.7
douglas_ad_4na_france,5.7
douglas_ad_4_france,5.3
douglas_a_1h,6.7
do_17e_1,1.0
do_17z_2,1.7
do_17z_7,1.7
do_217e_2,4.7
do_217e_4,5.0
do_217j_1,2.0
do_217j_2,2.3
do_217k_1,5.3
do_217m_1,5.3
do_217n_1,2.7
do_217n_2,3.0
do_335a_0,4.3
do_335a_1,4.0
do_335b_2,5.7
d_371,1.0
d_371_hs9,1.7
d_373,1.0
d_500,1.0
d_501,1.7
d_510,1.7
d_510c,1.7
d_520,3.0
d_520_france,3.0
d_521,3.3
ef_2000a,14.3
ef_2000a_aesa,14.7
ef_2000_aesa,14.7
ef_2000_block_10,14.3
ef_2000_fgr4,14.3
ef_2000_typhoon_aesa,14.7
er-2_ach30b_early,4.7
er-2_ach30b_late,4.7
er-2_m105r_lu2b,4.3
er-2_m105r_tat,4.3
er-2_m105_mv3,3.7
er-2_m105_tat,4.3
etndard_4m,9.3
f-100a_china,9.7
f-100d,9.3
f-100d_france,9.7
f-104a,9.7
f-104a_china,9.7
f-104c,9.7
f-104g,10.7
f-104g_belgium,10.7
f-104g_china,10.7
f-104g_italy,10.7
f-104j,10.3
f-104s,11.0
f-104s_asa,11.7
f-104s_cb,11.0
f-105d,11.0
f-4c,10.3
f-4e,11.3
f-4ej,11.3
f-4ej_adtw,11.3
f-4ej_kai,12.0
f-4e_iaf,11.3
f-4e_kurnass_2000,12.0
f-4f,10.7
f-4f_kws_lv,13.0
f-4f_late,11.0
f-4j,11.7
f-4jk,11.7
f-4k,11.7
f-4m_fgr2,11.7
f-4s,11.7
f-5a,10.3
f-5ag_norway,11.0
f-5a_china,11.3
f-5a_thailand,10.3
f-5c,10.3
f-5e,11.3
f-5e_aidc,11.3
f-5e_fcu_thailand,11.7
f-5e_switzerland,11.3
f-5th_thailand,13.0
f-5t_thailand,11.7
f-80,7.7
f-80a,6.7
f-82e,5.0
f-84b,6.7
f-84f,9.0
f-84f_france,9.0
f-84f_germany,8.7
f-84f_iaf,8.7
f-84f_israel_iaf,8.7
f-84f_italy,9.0
f-84g,7.7
f-84g-31-re_china,7.7
f-84g_china,7.7
f-84g_france,7.7
f-84g_greece,7.7
f-84g_italy,7.7
f-84g_thailand,7.7
f-86a-5,7.7
f-86f-2,9.0
f-86f-25,8.0
f-86f-30_china,8.0
f-86f-30_japan,8.0
f-86f-35,7.7
f-86f-40_china,8.3
f-86f-40_japan,8.3
f-86f-40_japan_blue_impulse,8.3
f-86k_late,9.0
f-86k_late_german,9.0
f-86k_late_italy,9.0
f-86_canadair_german,8.3
f-86_cl_13b_mk6,9.3
f-86_cl_13_mk4_italy,7.7
f-89b,6.7
f-89d,6.7
f-8e,10.3
f-8e_fn,10.0
f1,10.3
f11f_1_late,9.0
f1m2,1.0
f2a-1,2.0
f2a-1_thach,2.0
f2a-3,2.7
f2g-1,5.3
f2h-2,7.3
f3d_1,7.7
f3f-2,1.7
f3f-2_galer,1.3
f3h-2,9.3
f4d_1,9.3
f4f-3,2.7
f4f-4,3.0
f4f-4_martlet_mk4,3.0
f4u-1a,2.7
f4u-1a_japan,3.0
f4u-1a_usmc,3.0
f4u-1c,5.0
f4u-1d,3.0
f4u-4,4.3
f4u-4b,5.7
f4u-4b_vmf_214,5.7
f4u-6_au-1,5.7
f4u-7,6.0
f6f-3,3.0
f6f-5n,5.0
f6f-5n_france,5.0
f6f-5_france,3.0
f7f1,6.7
f7f3,6.7
f8f1,4.3
f8f1b,6.3
f8f1b_france,6.3
f8u-2,9.7
f9f-2,8.3
f9f-5,8.3
f9f-8,8.3
fa_18a,12.3
fa_18a_hug_2_raaf,14.0
fa_18a_raaf,12.3
fa_18c_early,12.7
fa_18c_finland,14.0
fa_18c_late,14.0
fa_18c_late_switzerland,14.0
fa_18c_mlu_2_finland,14.0
fa_18c_switzerland,12.7
fa_18d_late_malaysia,14.0
fa_18e_block_2,14.3
fa_18f_block_2_raaf,14.3
fc_20_bis,2.3
ffa_p16,9.0
ffvs_j22_a,3.0
ffvs_j22_b,4.0
fiat_cr42,1.7
fiat_cr42_italy,1.7
fiat_cr42_j11,1.7
fiat_cr42_marcolin,1.7
fiat_cr42_marcolin_italy,1.7
fiat_g50_seria2,2.0
fiat_g50_seria2_italy,2.0
fiat_g50_seria7as,2.0
fiat_g50_seria7as_italy,2.0
fiat_g91_ps,8.3
fiat_g91_r1,8.3
fiat_g91_r3,9.0
fiat_g91_r4,8.3
fiat_g91_r4_german,8.3
fiat_g91_y,9.3
fiat_g91_ys,9.7
firebrand_tf4,3.7
firefly_mk1,3.7
firefly_mk4_netherlands,4.0
firefly_mk5,4.0
fj_4b,9.0
fj_4b_agm_12b,9.0
fokker_d21_mod20,2.3
fokker_d21_netherlands,1.7
fokker_d21_serie3_finland,1.7
fokker_d23,2.7
fokker_g1a,2.3
fr_1_fireball,4.0
fury_mk1,1.0
fury_mk2,1.0
fw-189a-1,2.0
fw-190a-1,3.7
fw-190a-4,4.3
fw-190a-5,6.0
fw-190a-5_cannons,5.3
fw-190a-5_japan,5.3
fw-190a-5_u2,4.3
fw-190a-8,5.3
fw-190a-8_france,5.3
fw-190a-8_usa,5.3
fw-190c,5.3
fw-190d-12,6.0
fw-190d-13,5.7
fw-190d-9,5.0
fw-190d-9_ussr,5.0
fw-190f-8,5.3
fw_189c_0,2.7
fw_190a_5_u14,4.3
fw_190f_8_hungary,5.3
fw_200c_1,2.3
f_100f_china,9.3
f_101c,9.3
f_102a_greece,9.0
f_102a_late,9.0
f_106a_1972,9.0
f_111a,11.3
f_111c_raaf,11.3
f_111f,11.7
f_117,8.7
f_14a_early,12.3
f_14a_iriaf,13.0
f_14b,12.3
f_14d,12.3
f_14d_vf_11,12.3
f_15a,12.7
f_15a_iaf,12.7
f_15c_baz_msip,13.7
f_15c_golden_eagle,14.3
f_15c_msip2,13.7
f_15e,14.0
f_15i_raam,14.0
f_15j,12.7
f_15j_kai,14.0
f_16aj,12.7
f_16am_block_15_mlu_belgium,13.7
f_16am_block_20_mlu_netherlands,13.7
f_16am_block_20_mlu_norway,13.7
f_16a_block_10,12.3
f_16a_block_10_iaf,12.3
f_16a_block_10_netz_mod,12.3
f_16a_block_10_norway,12.3
f_16a_block_15_adf,13.7
f_16a_block_15_adf_italy,13.7
f_16a_block_15_belgium,12.7
f_16a_block_15_ocu_belgium,12.7
f_16a_block_15_ocu_thailand,13.7
f_16a_block_20_mlu,13.7
f_16a_block_5_netherlands,12.3
f_16a_block_72v_china,14.3
f_16c_block_40_barak_2,13.7
f_16c_block_50,13.7
f_16c_block_52_aesa,14.3
f_16d_block_40_barak_2,13.7
f_16i_sufa,14.0
f_16xl,13.0
f_20a,12.3
f_222_2,1.7
f_2a,13.7
f_2a_adtw,13.0
f_47n_25_re_china,4.3
f_4e_aup_greece,13.0
f_6c_pakistan,10.0
f_86em_greece,9.3
g4m1,3.0
g5n1,4.0
g8n1,6.0
gladiator_j8a,1.0
gladiator_j8a_iacobi,1.0
gladiator_mk1_belgium,1.0
gladiator_mk1_china,1.0
gladiator_mk2,1.7
gladiator_mk2_france,1.7
gladiator_mk2_navy,1.0
gladiator_mk2_silver,1.7
gladiator_mk2_tuck,1.3
go229_v3,6.7
g_55s,5.3
g_55_serie1,5.3
g_55_serie1_ss0,4.7
g_56,6.7
h-75a-1_france,1.3
h-75a-2_finland,2.7
h-75a-4_france,1.7
h-75m_china,2.0
h6k4,2.0
h8k2,3.3
h8k3,3.7
halifax_mk3,4.0
harrier_frs1,11.3
harrier_frs1_early,11.0
harrier_gr1,10.0
harrier_gr3,10.3
harrier_gr7,13.0
harrier_t10,11.3
hawk_200,11.0
hawk_200_rda,11.0
hawk_209_indonesia,11.0
hawk_iii,1.0
hawk_t1a,7.7
hawk_t1a_early,7.7
he-111h-16_winter,3.3
he-111h-2,1.7
he-111h-6,2.7
he-162a-1,6.3
he-162a-2,6.3
he-177a-3,6.3
he-177a-5,6.3
he51a1,1.0
he51b1,1.0
he51b_2w,1.0
he51c1,1.0
he51c1_late,1.0
hellcat_fmk1,3.0
he_100d_1,1.7
he_112a_0,2.0
he_112b_0,2.3
he_112b_1,2.3
he_112b_1_italy,2.3
he_112b_2,2.3
he_112v_5,1.3
he_115a_2_sweden,1.0
he_115c_1,1.3
he_219a_7,4.7
hornet_mk1,5.3
hornet_mk3,5.3
hp52_hampden_mk1_late,1.7
hp52_hampden_tbmk1,1.7
hp52_hampden_tbmk1_ussr_utk1,1.7
hp_12,1.0
hs-123a-1,1.0
hs-123a-1_china,1.0
hs-129b-2,3.3
hs-129b-2_romania,3.3
hs-129b-2_romania_italy,3.3
hs-129b-3,2.0
hudson_mk_v,2.3
hunter_f1,9.0
hunter_f50_sweden,9.3
hunter_f58a_1971_switzerland,9.3
hunter_f58_switzerland,9.3
hunter_f6,10.0
hunter_f6_holland,9.3
hunter_f9_rhodesia,9.3
hurricanemkii,2.3
hurricanemkii_ussr,3.3
hurricane_mk1,2.7
hurricane_mk1b,2.3
hurricane_mk1c,3.3
hurricane_mk1_late_ep,2.7
hurricane_mk1_late_finland,2.7
hurricane_mk4,2.0
i-153p,3.0
i-153_m62,2.3
i-153_m62_china,2.3
i-153_m62_zhukovskiy,2.3
i-15bis,1.3
i-15bis_china,1.0
i-15bis_krasnolutsky,1.3
i-15_1934,1.0
i-15_1935,1.0
i-15_1935_moscow,1.0
i-16_chung_28,1.3
i-16_type10,2.3
i-16_type10_china,2.3
i-16_type17_china,3.3
i-16_type18,2.3
i-16_type24,2.3
i-16_type27,3.3
i-16_type28,3.3
i-16_type5,1.7
i-16_type5_1935_china,1.7
iar_81c,2.7
iar_81c_db_605,3.0
iar_93b,9.0
ia_58a_pucara,4.7
il-10,5.0
il-10_1946,5.0
il-10_1946_china,5.0
il-10_1946_hungary,5.0
il-2i,3.0
il-2m,3.3
il-2m_mstitel,3.3
il-4,3.0
il_28,8.0
il_28sh,8.0
il_28_china,8.0
il_28_german,8.0
il_28_hungary,8.0
il_2m_1943,3.3
il_2_1941,2.7
il_2_1942_luftwaffe,3.0
il_2_37_1943,3.0
il_2_m82,2.7
il_8_1944,3.7
intruder_mk_1,2.0
itp_m1,5.0
i_180,3.0
i_185_m71_standard,4.3
i_185_m82,4.0
i_225,5.7
i_29,2.7
j1n1_mod11_early,2.3
j2m2,5.7
j2m3,6.7
j2m4_kai,5.7
j2m5,6.7
j2m5_30mm,5.7
j5n1,5.3
j6b,1.0
j6k1,6.3
j7w1,5.7
j8m1,9.3
j9_early,2.3
jaguar_a,10.7
jaguar_e,10.3
jaguar_gr1,9.7
jaguar_gr1a,10.3
jaguar_is,11.0
javelin_fmk9,8.3
jf_17,13.3
jh_7,11.7
jh_7a,12.7
jh_7a2,13.0
jh_7a_prototype,12.7
ju-188a-2,5.3
ju-288c,6.3
ju-388j,4.7
ju-87b-2,1.3
ju-87d-3,2.3
ju-87d-3_italy,2.3
ju-87d-5,3.7
ju-87g_1,2.0
ju-87g_2,2.0
ju-87r-2,1.3
ju-87r-2_italy,1.3
ju-87r-2_snake,1.3
ju-88a-1,2.7
ju-88a-4,3.3
ju-88a-4_finland,3.3
ju-88c-6,2.7
