id,name,country,rank,br_realistic
a-20g,"A-20G-25",usa,2,2.7
a-26b,"A-26B-50",usa,4,5.3
a-26b_10,"A-26B-10",usa,4,5.0
a-26c,"A-26C-45",usa,4,5.3
a-26c-45-dt,"A-26C-45DT",usa,4,5.3
a-35b,"▄A-35B",france,2,2.7
a2d,"A2D-1",usa,5,7.0
a5m4,"A5M4",japan,1,1.3
a5m4_hagiri,"Hagiri&#039;s A5M4",japan,1,1.3
a6m2_mod11,"A6M2 mod. 11",japan,2,3.7
a6m2_n_zero,"A6M2-N",japan,2,2.3
a6m2_zero,"A6M2",japan,2,3.7
a6m2_zero_china,"␗A6M2",china,3,3.7
a6m2_zero_usa,"▃A6M2",usa,3,3.7
a6m3_mod22ko_zero,"A6M3 mod. 22Ko",japan,3,5.0
a6m3_mod22_zero,"A6M3 mod. 22",japan,3,4.7
a6m3_zero,"A6M3",japan,3,4.3
a6m5hei,"A6M5 Hei",japan,4,5.3
a6m5ko,"A6M5 Ko",japan,4,5.7
a6m5otsu,"A6M5 Otsu",japan,4,5.7
a6m5_zero,"A6M5",japan,3,5.0
a6m6c,"A6M6c",japan,4,5.7
a7he1,"A7He1",japan,2,2.0
a7m1,"A7M1 (NK9H)",japan,4,5.7
a7m2,"A7M2",japan,4,5.7
alpha_jet_a,"Alpha Jet A",germany,6,9.0
alpha_jet_a_jabog41,"Alpha Jet A (JaboG 41)",germany,6,9.0
alpha_jet_a_thailand,"▄Alpha Jet A",japan,6,9.0
alpha_jet_e,"Alpha Jet E",france,6,9.0
alpha_jet_th_phase_1,"▄Alpha Jet TH",japan,6,10.7
amx,"AMX",italy,7,10.7
amx_a_1a_brazil,"AMX A-1A",italy,7,11.0
am_1_mauler,"AM-1",usa,4,5.7
arado-196a-3,"Ar 196 A-3",germany,1,1.3
arado-196a-5,"▄Ar 196 A-5",sweden,1,1.3
arado-234,"Ar 234 B-2",germany,5,6.3
arado-234c-3,"Ar 234 C-3",germany,5,7.3
arado_234b_2_mt,"Ar 234 B-2 (WB 151)",germany,5,6.7
ariete,"Ariete",italy,6,9.3
ar_2,"Ar-2",ussr,1,2.3
attaker_fb1,"Attacker FB 1",britain,5,7.0
attaker_fb2,"Attacker FB.2",britain,5,7.0
avenger_mk1,"▄Avenger Mk II",britain,2,1.7
av_8a,"AV-8A",usa,6,9.7
av_8b_na,"AV-8B (NA)",usa,7,11.3
av_8b_plus,"AV-8B Plus",usa,8,13.0
av_8b_plus_italy,"▄AV-8B Plus",italy,8,13.0
av_8c,"AV-8C",usa,6,9.7
av_8s_late_thailand,"▄AV-8S Late",japan,7,11.0
av_8s_thailand,"▄AV-8S",japan,6,9.7
a_10a_early,"A-10A",usa,6,10.3
a_10a_late,"A-10A Late",usa,7,10.7
a_10c,"A-10C",usa,7,11.7
a_20g_30_ussr,"▂A-20G-30",ussr,3,3.7
a_29_hudson,"A-29",china,2,2.0
a_4b,"A-4B",usa,6,8.7
a_4e_early,"A-4E Early",usa,6,8.7
a_4e_early_iaf,"A-4E Early (M)",israel,6,8.7
a_4e_late_iaf,"A-4E",israel,6,8.7
a_4h,"A-4H",israel,6,8.3
a_4n,"Ayit",israel,6,10.0
