id,br_sim
a-20g,2.3
a-26b,5.0
a-26b_10,4.7
a-26c,5.3
a-26c-45-dt,5.3
a-35b,2.3
a2d,7.0
a5m4,1.3
a5m4_hagiri,1.3
a6m2_mod11,3.7
a6m2_n_zero,2.3
a6m2_zero,3.7
a6m2_zero_china,3.7
a6m2_zero_usa,3.7
a6m3_mod22ko_zero,5.3
a6m3_mod22_zero,4.7
a6m3_zero,4.3
a6m5hei,5.7
a6m5ko,6.0
a6m5otsu,6.0
a6m5_zero,5.3
a6m6c,5.7
a7he1,2.0
a7m1,5.7
a7m2,6.0
alpha_jet_a,9.0
alpha_jet_a_jabog41,9.0
alpha_jet_a_thailand,9.0
alpha_jet_e,9.0
alpha_jet_th_phase_1,9.7
amx,11.0
amx_a_1a_brazil,11.3
am_1_mauler,5.7
arado-196a-3,1.3
arado-196a-5,1.3
arado-234,6.3
arado-234c-3,7.3
arado_234b_2_mt,6.7
ariete,9.3
ar_2,2.3
attaker_fb1,7.0
attaker_fb2,7.0
avenger_mk1,1.7
av_8a,9.3
av_8b_na,11.7
av_8b_plus,12.0
av_8b_plus_italy,12.0
av_8c,9.3
av_8s_late_thailand,10.3
av_8s_thailand,9.3
a_10a_early,10.3
a_10a_late,10.7
a_10c,11.7
a_20g_30_ussr,3.7
a_29_hudson,2.0
a_4b,8.7
a_4e_early,9.3
a_4e_early_iaf,9.3
a_4e_late_iaf,9.3
a_4h,8.0
a_4n,10.0
a_4ptm_malaysia,9.3
a_5c,9.7
a_6e_tram,11.0
a_7d,10.3
a_7e,10.7
a_7e_greece,10.7
a_7e_thailand,10.7
a_7h_greece,10.0
a_7k,11.0
b-17e,4.7
b-17e_japan,4.7
b-17e_late,5.0
b-17g,5.3
b-17g_iaf,5.3
b-29,6.7
b-57,7.3
b-57b,7.3
b5n2,1.3
b6n1,1.7
b6n2,2.0
b6n2a,2.0
b7a2,3.7
b7a2_homare_23,3.7
ba_65_a80,1.3
ba_65_k14_l,1.3
bb-1,1.3
beaufighter_mk1_40mm,2.3
beaufighter_mk21,3.7
beaufighter_mk6c,3.0
beaufighter_mkx,3.0
beaufort_mkviii,1.7
be_6,5.0
bf-109a_1,1.3
bf-109b_2,1.3
bf-109c_1,2.0
bf-109c_1_promo,2.0
bf-109e-1,2.3
bf-109e-3,2.3
bf-109e-3_japan,3.0
bf-109e-4,3.0
bf-109e-7,3.0
bf-109f-1,2.7
bf-109f-2,3.0
bf-109f-4,4.0
bf-109f-4_hungary,4.0
bf-109f-4_trop,4.0
bf-109f-4_usa,4.0
bf-109g-10,5.7
bf-109g-14,5.3
bf-109g-14as,5.3
bf-109g-2,4.7
bf-109g-2_finland,4.7
bf-109g-2_hungary,4.7
bf-109g-2_romania,4.7
bf-109g-6,4.7
bf-109g-6_erla_finland,4.7
bf-109g-6_finland,4.7
bf-109k-4,5.7
bf-109z,4.7
bf-110c-4,2.7
bf-110c-6,3.0
bf-110f-2,3.0
bf-110g-2,3.3
bf2c_1,1.0
bf_109t_2,3.0
bf_110g_4,3.7
bf_110g_4_hungary,3.7
bi,7.0
blenheim_mkiv,1.3
boomerang_mki,3.0
boomerang_mkii,3.0
boston_mk_1,2.3
breda_88,1.7
brigand_b1,4.0
br_20m_m1,1.7
br_20_dr,1.7
br_693_ab2,2.0
btd-1,4.0
buccaneer_s1,8.7
buccaneer_s2,9.0
buccaneer_s2b,10.7
bv-138c-1,1.7
bv-155b-1,3.7
bv-238,3.7
b_10b,1.3
b_18a,1.3
b_239_finland,3.0
b_24d,5.7
b_25j_1,3.7
b_25j_20,3.7
b_25j_30_china,3.7
b_25j_30_vvs_ussr,3.7
b_26b_c,4.3
b_26b_indonesia_kalong,3.7
b_26c_france,4.3
b_34,3.3
b_48_firecrest,2.3
b_52h,8.3
b_66b,8.3
canberra_bimk6,7.3
canberra_bmk2,7.3
caudron_cr714,1.3
ca_27_mk32_malaysia,8.7
ca_27_mk32_raaf,8.7
cf_188a_canada,12.0
corsair_fmk2,2.7
cr_32,1.0
cr_32_bis,1.7
cr_32_quater,1.0
cw_21,2.7
c_3604,2.7
d3a1,1.3
d4y1,2.0
d4y2,2.3
d4y3,3.0
db_3a_china,2.7
db_3b,2.7
db_7,2.3
db_lk,2.0
dh_110_sea_vixen,8.7
douglas_ad_2,5.3
douglas_ad_4,6.0
douglas_ad_4na_france,6.0
douglas_ad_4_france,6.0
douglas_a_1h,6.3
do_17e_1,1.0
do_17z_2,1.7
do_17z_7,1.3
do_217e_2,4.3
do_217e_4,4.7
do_217j_1,2.0
do_217j_2,2.3
do_217k_1,4.7
do_217m_1,4.7
do_217n_1,2.3
do_217n_2,2.7
do_335a_0,4.3
do_335a_1,4.0
do_335b_2,5.7
d_371,1.0
d_371_hs9,1.3
d_373,1.0
d_500,1.0
d_501,1.3
d_510,1.3
d_510c,1.3
d_520,3.0
d_520_france,3.0
d_521,3.0
ef_2000a,13.0
ef_2000a_aesa,13.0
ef_2000_aesa,13.0
ef_2000_block_10,13.0
ef_2000_fgr4,13.0
ef_2000_typhoon_aesa,13.0
er-2_ach30b_early,4.3
er-2_ach30b_late,4.3
er-2_m105r_lu2b,3.7
er-2_m105r_tat,3.7
er-2_m105_mv3,3.3
er-2_m105_tat,3.7
etndard_4m,9.0
f-100a_china,9.0
f-100d,9.0
f-100d_france,9.0
f-104a,9.0
f-104a_china,9.0
f-104c,9.3
f-104g,9.7
f-104g_belgium,9.7
f-104g_china,9.7
f-104g_italy,9.7
f-104j,9.7
f-104s,10.0
f-104s_asa,11.0
f-104s_cb,10.0
f-105d,9.7
f-4c,9.7
f-4e,11.3
f-4ej,10.3
f-4ej_adtw,10.3
f-4ej_kai,11.0
f-4e_iaf,11.3
f-4e_kurnass_2000,11.7
f-4f,10.0
f-4f_kws_lv,12.0
f-4f_late,10.3
f-4j,10.7
f-4jk,10.3
f-4k,10.3
f-4m_fgr2,10.3
f-4s,10.7
f-5a,9.7
f-5ag_norway,10.7
f-5a_china,9.7
f-5a_thailand,9.7
f-5c,9.7
f-5e,11.3
f-5e_aidc,11.3
f-5e_fcu_thailand,11.3
f-5e_switzerland,11.3
f-5th_thailand,12.0
f-5t_thailand,11.3
f-80,8.0
f-80a,7.0
f-82e,5.0
f-84b,7.0
f-84f,8.0
f-84f_france,8.0
f-84f_germany,8.0
f-84f_iaf,8.0
f-84f_israel_iaf,8.0
f-84f_italy,8.0
f-84g,7.7
f-84g-31-re_china,7.7
f-84g_china,7.7
f-84g_france,7.7
f-84g_greece,7.7
f-84g_italy,7.7
f-84g_thailand,7.7
f-86a-5,8.0
f-86f-2,8.7
f-86f-25,8.3
f-86f-30_china,8.3
f-86f-30_japan,8.3
f-86f-35,8.3
f-86f-40_china,9.0
f-86f-40_japan,9.0
f-86f-40_japan_blue_impulse,9.0
f-86k_late,8.7
f-86k_late_german,8.7
f-86k_late_italy,8.7
f-86_canadair_german,8.7
f-86_cl_13b_mk6,8.7
f-86_cl_13_mk4_italy,8.0
f-89b,7.0
f-89d,7.0
f-8e,9.7
f-8e_fn,9.7
f1,9.7
f11f_1_late,8.7
f1m2,1.0
f2a-1,2.3
f2a-1_thach,2.3
f2a-3,2.3
f2g-1,6.0
f2h-2,7.3
f3d_1,6.7
f3f-2,1.3
f3f-2_galer,1.3
f3h-2,8.7
f4d_1,9.0
f4f-3,2.3
f4f-4,3.0
f4f-4_martlet_mk4,2.7
f4u-1a,2.7
f4u-1a_japan,3.0
f4u-1a_usmc,3.0
f4u-1c,4.7
f4u-1d,3.0
f4u-4,4.3
f4u-4b,5.7
f4u-4b_vmf_214,5.7
f4u-6_au-1,5.7
f4u-7,6.0
f6f-3,3.3
f6f-5n,4.3
f6f-5n_france,4.3
f6f-5_france,3.3
f7f1,6.3
f7f3,6.7
f8f1,4.7
f8f1b,6.3
f8f1b_france,6.3
f8u-2,9.7
f9f-2,8.0
f9f-5,8.0
f9f-8,8.3
fa_18a,12.0
fa_18a_hug_2_raaf,12.7
fa_18a_raaf,12.0
fa_18c_early,12.0
fa_18c_finland,12.7
fa_18c_late,12.7
fa_18c_late_switzerland,12.7
fa_18c_mlu_2_finland,12.7
fa_18c_switzerland,12.0
fa_18d_late_malaysia,12.7
fa_18e_block_2,13.0
fa_18f_block_2_raaf,13.0
fc_20_bis,2.0
ffa_p16,8.7
ffvs_j22_a,3.0
ffvs_j22_b,3.7
fiat_cr42,1.3
fiat_cr42_italy,1.3
fiat_cr42_j11,1.3
fiat_cr42_marcolin,1.3
fiat_cr42_marcolin_italy,1.3
fiat_g50_seria2,1.7
fiat_g50_seria2_italy,1.7
fiat_g50_seria7as,1.7
fiat_g50_seria7as_italy,1.7
fiat_g91_ps,8.3
fiat_g91_r1,8.3
fiat_g91_r3,8.7
fiat_g91_r4,8.7
fiat_g91_r4_german,8.7
fiat_g91_y,9.0
fiat_g91_ys,9.3
firebrand_tf4,3.3
firefly_mk1,3.3
firefly_mk4_netherlands,3.7
firefly_mk5,3.7
fj_4b,8.7
fj_4b_agm_12b,9.3
fokker_d21_mod20,2.0
fokker_d21_netherlands,1.7
fokker_d21_serie3_finland,1.7
fokker_d23,2.7
fokker_g1a,2.3
fr_1_fireball,4.3
fury_mk1,1.0
fury_mk2,1.0
fw-189a-1,2.3
fw-190a-1,3.3
fw-190a-4,4.0
fw-190a-5,4.3
fw-190a-5_cannons,4.3
fw-190a-5_japan,4.3
fw-190a-5_u2,4.0
fw-190a-8,5.3
fw-190a-8_france,5.3
fw-190a-8_usa,5.3
fw-190c,5.0
fw-190d-12,5.0
fw-190d-13,5.0
fw-190d-9,5.0
fw-190d-9_ussr,5.0
fw-190f-8,5.0
fw_189c_0,3.0
fw_190a_5_u14,4.0
fw_190f_8_hungary,5.0
fw_200c_1,2.0
f_100f_china,9.0
f_101c,9.0
f_102a_greece,8.7
f_102a_late,8.7
f_106a_1972,9.0
f_111a,9.7
f_111c_raaf,11.3
f_111f,11.7
f_117,10.0
f_14a_early,11.7
f_14a_iriaf,11.7
f_14b,11.7
f_14d,11.7
f_14d_vf_11,11.7
f_15a,11.7
f_15a_iaf,11.7
f_15c_baz_msip,12.7
f_15c_golden_eagle,13.0
f_15c_msip2,12.7
f_15e,12.7
f_15i_raam,13.0
f_15j,11.7
f_15j_kai,12.7
f_16aj,12.0
f_16am_block_15_mlu_belgium,12.7
f_16am_block_20_mlu_netherlands,12.7
f_16am_block_20_mlu_norway,12.7
f_16a_block_10,12.0
f_16a_block_10_iaf,12.0
f_16a_block_10_netz_mod,12.0
