id,br_arcade
fr_destroyer_bourrasque_class_bourrasque,3.7
fr_destroyer_hunt_3series,4.0
fr_destroyer_aigle_class_vautour,4.3
fr_destroyer_vauquelin_class_vauquelin,4.3
fr_cruiser_chateaurenault_class_guichen,4.7
fr_destroyer_le_fantasque_class_le_malin,4.7
fr_cruiser_dugauy_class_primaguet,5.0
fr_cruiser_suffren_class_colbert,5.3
fr_battleship_courbet_class_paris,6.0
fr_battleship_bretagne_class_lorraine,6.3
fr_destroyer_jaguar_class_leopard,3.7
fr_destroyer_jaguar_class_chacal,4.0
fr_destroyer_desaix_class_kleber,4.3
fr_destroyer_aigle_class_milan,4.3
fr_destroyer_marceau_class_marceau,4.3
fr_cruiser_jeanne_darc,4.7
fr_cruiser_emile_bertin,5.3
fr_battleship_bretagne_class_bretagne,6.7
fr_destroyer_jaguar_class_panthere,3.7
fr_destroyer_bourrasque_class_tornade,3.7
fr_destroyer_aigle_class_aigle,4.3
fr_destroyer_le_fantasque_class_le_triomphant,4.7
fr_cruiser_dugauy_class_dugauy_trouin,5.0
fr_cruiser_suffren_class_dupleix,5.7
fr_battleship_courbet_class_courbet,6.0
germ_battleship_helgoland,6.7
germ_battleship_kaiser,6.7
germ_battleship_bayern,7.0
germ_battleship_sachsen,7.0
germ_battlecruiser_von_der_tann,6.0
germ_battleship_nassau,6.0
germ_battleship_ostfriesland,6.7
germ_battleship_baden,7.0
fr_destroyer_mogador_class_mogador,5.0
germ_battlecruiser_derfflinger,6.7
fr_battleship_dunkerque,7.0
fr_cruiser_la_galissoniere_class_la_galissoniere,5.7
germ_battlecruiser_ersatz_yorck,7.0
fr_battleship_strasbourg,7.3
fr_battleship_richelieu_class_richelieu,8.3
germ_battleship_bismarck,8.3
germ_battleship_gneisenau_380mm,7.7
germ_battlecruiser_mackensen_class,7.0
fr_cruiser_la_galissoniere_class_gloire,5.7
fr_battleship_richelieu_class_clemenceau,8.3
germ_battleship_konig,6.7
fr_cruiser_suffren_class_suffren,5.3
fr_destroyer_guepard_class_verdun,4.0
fr_battleship_richelieu_class_jean_bart,8.3
fr_cruiser_algerie_class,6.0
germ_destroyer_class1924_leopard1932,3.7
germ_destroyer_class1934a_1944,4.0
germ_destroyer_class1934a_1940,4.3
germ_destroyer_class1936a_mob_z32,4.7
germ_destroyer_class1936c_z46,5.0
germ_cruiser_leipzig,5.3
germ_cruiser_nurnberg,5.7
germ_cruiser_admiral_hipper,6.0
germ_battleship_westfalen,6.0
germ_destroyer_class1939_t22,3.7
germ_kanonenboot_k2,4.3
germ_destroyer_class1936_z20,4.3
germ_destroyer_class1936b,4.7
germ_cruiser_elbing,4.7
germ_cruiser_emden_1944,5.0
germ_cruiser_koln,5.3
germ_cruiser_admiral_graf_spee,6.0
germ_battleship_scharnhorst,7.3
germ_destroyer_class1924_iltis,3.7
germ_destroyer_class1924_jaguar1941,3.7
germ_destroyer_class1936c_z47,5.0
germ_destroyer_class1936_z20_karlgalster,4.7
germ_cruiser_karlsruhe,5.7
germ_cruiser_prinz_eugen,6.0
germ_destroyer_class1939_t31,4.0
germ_destroyer_class1936a_z25,4.3
it_cruiser_bartolomeocolleoni_1940,5.0
it_cruiser_montecuccoli,5.3
it_cruiser_eugenio_di_savoia,5.7
it_cruiser_garibaldi_class_abruzzi,5.7
it_battleship_dante_alighieri,6.3
it_battleship_conte_di_cavour,7.3
it_cruiser_etna_class,4.7
it_cruiser_capitani_romani_class_attilio_regolo,4.7
it_cruiser_bolzano,5.7
it_battleship_andrea_doria,6.3
it_battleship_caio_duilio,7.3
it_battleship_leonardo_da_vinci,6.3
it_battleship_francesco_caracciolo,6.7
germ_destroyer_fletcher_zerstorer4,4.7
it_battleship_littorio_class_roma,8.3
germ_destroyer_class1942_z51,4.7
it_cruiser_cadorna_class_cadorna,5.3
it_battleship_littorio_class_littorio,8.3
germ_destroyer_lutjens_class_lutjens,5.3
it_cruiser_cadorna_class_diaz,5.3
germ_destroyer_class1944_z52,5.0
germ_kanonenboot_k4_lorelei,3.7
germ_cruiser_admiral_scheer,5.7
it_battleship_giulio_cesare,7.3
it_destroyer_turbine,3.3
it_destroyer_dardo,3.7
it_destroyer_leone_class,4.0
it_destroyer_soldati_serie1_camicianera,4.3
it_destroyer_navigatori_class_verazzano,4.3
it_destroyer_vifor_class_aquila,3.3
it_destroyer_comandanti_medaglie_doro,4.0
it_destroyer_impetuoso_class_impetuoso,4.3
it_cruiser_trento,5.3
it_cruiser_zara_class,6.0
it_destroyer_aquilone,3.3
it_destroyer_fletcher_geniere,4.7
it_destroyer_leone_class_tigre,4.0
it_destroyer_soldati_serie1_geniere,4.3
it_cruiser_zara_class_pola,6.0
it_destroyer_soldati_serie1,4.0
jp_cruiser_kako,5.0
jp_cruiser_furutaka,5.7
jp_cruiser_aoba,5.7
jp_cruiser_haguro,6.0
jp_cruiser_tone,6.0
jp_battleship_settsu,6.3
jp_battleship_fuso,7.7
jp_cruiser_isuzu,4.7
jp_cruiser_kuma,5.0
jp_cruiser_sendai,5.0
jp_cruiser_agano,5.3
jp_cruiser_mogami_suzuya,6.0
jp_cruiser_mogami,6.0
jp_battleship_hyuga,7.0
jp_battleship_ise,7.7
jp_armoredcruiser_ikoma,5.7
jp_battlecruiser_kongo,7.3
jp_battleship_mutsu,8.0
jp_cruiser_myoko,6.0
jp_cruiser_mogami_mikuma,6.0
jp_battleship_yamashiro,7.0
jp_armoredcruiser_kurama,5.7
jp_battlecruiser_haruna,7.3
jp_battlecruiser_amagi,8.0
jp_battlecruiser_kirishima,7.3
it_destroyer_maestrale_class_grecale,3.7
