id,br_arcade
fr_vlt2,3.3
germ_ls_class,1.0
germ_s38,1.0
germ_s38b,1.7
germ_pr_131,3.0
germ_mz_1,3.0
germ_minelayer_drache,3.7
germ_pr_206,4.3
germ_rboot_r41,1.0
germ_rboot_r130,1.7
germ_rboot_r301,2.3
germ_artilleriefahrprahm_typ_d1,2.7
germ_artilleriefahrprahm_typ_d3,3.3
germ_escort_typem1935,4.3
germ_frigate_koln,4.7
germ_rdm242,2.7
germ_kondor2_class,3.3
germ_ls4_class,1.0
germ_km5,1.7
germ_escort_typem1943,4.3
germ_frigate_koln_lubeck,4.7
fr_vtb8,1.0
fr_vtb14,1.0
fr_type40k_vedette,1.7
fr_arras_class_arras,3.3
fr_vlt1,3.3
fr_p730_combattante,3.7
fr_vtb11,1.0
fr_vtb13,1.3
fr_mtb96_vosper,2.0
fr_lcg_m_l9059,2.3
fr_frigate_croix_de_lorraine_class_la_surprise,3.3
fr_vtb9,1.0
fr_vtb12_mod,1.0
fr_vtb18,1.0
fr_flower_class_aconit,2.3
fr_marne_class_marne,3.0
germ_schutze_class,3.0
fr_arras_class_amiens,3.3
fr_vtb10,1.0
fr_adroit_class,2.7
fr_marne_class_aisne,3.0
fr_elan_class_commandant_domine,3.3
fr_frigate_corse_class_brestois,4.0
fr_frigate_corse_class_corse,4.0
germ_pr1331,4.0
germ_s30_s61,1.7
fr_trident_class_glaive_p671,2.7
fr_lcm_monitor,1.7
germ_rboot_r310,2.3
germ_s_100_class,2.3
germ_s_100_s_174_class,2.7
germ_vs10_hydrofoil,2.7
germ_type143_albatros,3.7
germ_sf40_schwere_flakkampffaehre,2.7
germ_sf40_leichte_flakkampffaehre,2.7
germ_type140_jaguar,4.3
germ_type152_hugin,4.3
germ_type153_pfeil,4.3
germ_s_100_s204_lang,2.3
germ_vs8_hydrofoil,2.3
germ_skr_pr50_karl_marx,4.0
germ_type143_bussard,3.7
germ_s_700_s_701,2.7
it_mas_classe500_3_1944,1.0
it_vas_baglietto_68t_1serie,1.3
it_ms15_1a,1.3
it_mas_stefano_turr,1.7
it_a1_vosper,2.3
it_ms473_2a,2.3
it_mc490_folgore,3.3
it_alano_9851,3.7
it_p494_saetta,4.7
it_mas_classe500_3,1.0
it_ms53_2a,1.7
it_ms471_1a,2.3
it_ms473_2a_art,3.0
it_gabbiano_class,3.7
it_albatros_class_f543,4.0
it_mas_classe500_4,1.0
it_mc_485,2.7
it_gabbiano_class_c16,3.7
it_p420_sparviero,3.7
it_albatros_class_f544,4.0
it_p493_freccia,4.7
jp_escort_hiburi_class_syonan,3.3
jp_destroyer_chidori,3.7
jp_abtei_pr1,1.0
jp_abtei_pr4,1.3
jp_escort_chikugo_class,3.3
jp_destroyer_isuzu,3.7
jp_destroyer_ayanami,4.3
jp_escort_akebono_class,3.3
it_mas441,2.0
it_ms444,2.7
it_ciclone_class_ghibli,3.7
jp_escort_hiburi_class_shisaka,3.3
it_mc492_baleno,3.3
it_cassiopea_p401,3.7
it_mas_classe429,1.3
uk_fairmile_a_ml100,1.0
uk_70ft_mgb,1.7
uk_fairmile_b_ml345,2.0
uk_dark_class,2.0
uk_dark_class_mtb,2.3
uk_fairmile_d_617_632,2.3
uk_fairmile_d_697_800,2.7
uk_brave_borderer,3.3
uk_destroyer_restigouche_class_terranova,4.0
uk_frigate_leopard,4.0
uk_flower_class,2.3
uk_fairmile_c,2.3
uk_fairmile_lcs_l_h_mk2,2.3
uk_fairmile_d_601_616,2.3
uk_attack_class_arrow,2.7
uk_fairmile_c_332,3.0
uk_corvette_peacock,4.3
uk_71ft_mgb,2.0
uk_fairmile_d_5001_5029,2.7
uk_corvette_orla,4.3
uk_dark_class_mtb_td,2.3
uk_frigate_river,3.3
jp_t14_class,1.0
jp_type5_escortboat,1.7
jp_karotei_type2,1.7
jp_sehatei_mod1,1.7
jp_kusen_tei_13_1944,2.3
jp_t51b,2.3
jp_type_11_pt_15,3.3
jp_escort_ikazuchi_class,3.3
jp_yuri_class_asagao,3.7
jp_type_t1_1941,1.0
jp_type38_1944,1.7
jp_no1_ch2,3.0
jp_no4_ch8,3.0
jp_type7_pt808,3.3
jp_t14_class_mod01,1.0
jp_kusen_tei_13_1942,2.3
jp_karotei_type4,1.7
jp_t51a,2.3
jp_pg02,3.3
uk_fremantle_class,3.0
jp_type1_pt2,2.0
jp_t14_class_mod02,1.0
uk_71ft_mtb460,2.3
jp_pc301_kari_class,3.0
uk_73ft_vosper_type1,2.0
uk_73ft_vosper_type2,2.0
jp_ujishima_msc,1.7
jp_type9_pt809,2.3
uk_mtb_1series,1.0
uk_sgb_304,3.0
uk_mtb_vosper_1series,1.0
uk_mtb_vosper_2series,1.7
uk_hdml_ml1383,1.7
uk_isles_class_trawler,2.0
uk_frigate_whitby_blackpool,3.7
uk_mtb_2series,1.0
uk_gay_class_archer,2.3
uk_sgb_309,3.0
uk_frigate_whitby,3.7
uk_higgins_78ft_mtb422,2.3
ussr_g5_mtb,1.0
ussr_d3,1.0
ussr_mpk_163,2.0
ussr_pr_123bis,2.0
ussr_pr_123k,2.0
ussr_pr_1204_late,2.7
ussr_bmo,3.0
ussr_pr_183,3.3
ussr_mo_4,1.0
ussr_od_200,1.7
ussr_mpk_122a,2.3
ussr_1124_art,2.3
ussr_1124_ack,2.3
ussr_mpk_201m,3.7
ussr_mpk_204,3.7
ussr_mpk_pr1331m,4.0
ussr_pr_191,2.7
ussr_mkl_186,3.3
ussr_mbk_161_1944,3.7
ussr_mpk_pr12412,4.3
ussr_mpk_pr11451,4.7
ussr_g5_mtb_shvak,1.0
ussr_pr_123k_hydrofoils,2.0
ussr_pr_1204,2.3
ussr_pr_183_egypt_bm_21,3.0
ussr_mbk_161_1943,3.3
ussr_mkl_186_mk85,3.3
ussr_g5_rct,1.7
ussr_1124_rct,2.0
ussr_mpk_122bis,2.3
ussr_mpk_201k,3.7
ussr_mpk_pr12412p,4.3
ussr_pr253l,1.7
uk_mtb35_vosper,1.0
ussr_pr_103_sm4,1.3
ussr_mpk_pr_1124,4.7
ussr_d3_tk126,1.3
ussr_fugas_t1_strela,2.7
us_pt6,1.0
us_nasty_ptf,1.7
us_elco_80ft_pt_boat,1.7
us_higgins_78ft_pt71,2.0
us_elco_80ft_pt_boat_mod01,2.3
us_elco_80ft_pt_boat_mod02,2.7
us_tucumcari_pgh2,3.0
us_pt812,3.3
us_pt810,3.3
us_frigate_tacoma,3.3
us_frigate_dealey,3.7
us_elco_77ft_pt20,1.7
us_pc_451,2.3
us_sc_497,2.3
us_higgins_78ft_pt625,2.7
us_elco_77ft_pt59,3.0
us_admirable_class,3.7
us_ashville_class,3.3
us_lcs_l_3,3.7
us_frigate_buckley_class_coolbaugh,4.0
us_pgm_59_class,3.3
us_cyclone_class_cyclone,3.3
us_pt3,1.0
us_pc_466_carmi,2.3
us_elco_80ft_pt174,2.3
us_lcm_zippo,2.3
us_elco_80ft_pt_boat_thunderbolt,2.7
us_pt811,3.7
us_ashville_class_douglas,4.0
us_elco_80ft_pt109_boat,1.7
us_higgins_78ft_pt658,2.7
us_flagstaff_pgh1,2.7
ussr_pr_206,4.3
ussr_pr_206m,4.3
ussr_skr_groza_1943,3.0
ussr_skr_pr50_jenot,4.0
ussr_skr_pr159,4.3
ussr_pr_191m,3.0
ussr_ya_5m,1.3
ussr_skr_pr50plo_rosomacha,4.0
ussr_skr_pr35,4.3
us_huckins_78ft_pt95,1.7
us_pgm_9_class,3.3
us_huckins_78ft_pt262,2.0
ussr_pr_205pe_k225,4.3
