id,name,country,rank,br_realistic
fr_vlt2,"VLT-2",france,4,3.3
germ_ls_class,"LS 3",germany,1,1.0
germ_s38,"S-38",germany,1,1.0
germ_s38b,"S-38b",germany,2,1.7
germ_pr_131,"V-990",germany,3,3.0
germ_mz_1,"MZ1",germany,4,3.0
germ_minelayer_drache,"Drache",germany,4,3.7
germ_pr_206,"Pr. 206",germany,5,4.3
germ_rboot_r41,"R-41",germany,1,1.0
germ_rboot_r130,"R-130",germany,2,2.0
germ_rboot_r301,"R-301",germany,2,2.3
germ_artilleriefahrprahm_typ_d1,"AF D1",germany,4,2.7
germ_artilleriefahrprahm_typ_d3,"AF D3",germany,4,3.3
germ_escort_typem1935,"M-17",germany,4,4.3
germ_frigate_koln,"Köln",germany,5,4.7
germ_rdm242,"Krischan der Große",germany,4,2.7
germ_kondor2_class,"Bernau",germany,4,3.3
germ_ls4_class,"LS 4 Esau",germany,1,1.0
germ_km5,"KM-5",germany,1,1.7
germ_escort_typem1943,"M-802",germany,4,4.3
germ_frigate_koln_lubeck,"Lübeck",germany,4,4.7
fr_vtb8,"VTB-8",france,1,1.0
fr_vtb14,"VTB-14",france,1,1.0
fr_type40k_vedette,"VTB-19",france,2,1.7
fr_arras_class_arras,"Arras",france,3,3.3
fr_vlt1,"VLT-1",france,4,3.3
fr_p730_combattante,"La Combattante",france,5,3.7
fr_vtb11,"VTB-11",france,1,1.0
fr_vtb13,"VTB-13",france,1,1.3
fr_mtb96_vosper,"MTB-96",france,2,2.0
fr_lcg_m_l9059,"L9059",france,3,2.3
fr_frigate_croix_de_lorraine_class_la_surprise,"La Surprise",france,4,3.3
fr_vtb9,"VTB-9",france,1,1.0
fr_vtb12_mod,"VTB-12",france,1,1.0
fr_vtb18,"VTB-18",france,1,1.0
fr_flower_class_aconit,"Aconit",france,2,2.3
fr_marne_class_marne,"Marne",france,3,3.0
germ_schutze_class,"Schütze",germany,4,3.0
fr_arras_class_amiens,"Amiens",france,3,3.3
fr_vtb10,"VTB-10",france,1,1.0
