id,br_arcade
cn_al_khalid_1,11.7
cn_antelope_tc_1l_ads,10.3
cn_cm11,9.3
cn_cm_25,8.7
cn_cm_34,9.3
cn_fk_2000,12.0
cn_gmc_cckw_353_m45_quad,2.3
cn_hj_9,9.0
cn_hq_11,12.7
cn_hq_17,11.7
cn_isu_122,5.3
cn_isu_152,4.7
cn_is_2_1943,6.0
cn_is_2_1943_no402,6.0
cn_is_2_1944,6.3
cn_lvt_4_zis_2,2.3
cn_m10,3.7
cn_m113a1_tow,8.3
cn_m18_hellcat,5.3
cn_m1a2t,12.7
cn_m24_chaffee,3.7
cn_m36,5.3
cn_m3a3_stuart,2.7
cn_m3a3_stuart_1st_ptg,2.7
cn_m41_a3_walker_bulldog,5.7
cn_m42_duster,4.3
cn_m48a1_patton_iii,7.7
cn_m4a1_76w_sherman,4.0
cn_m4a4_sherman,3.7
cn_m4a4_sherman_1st_ptg,3.7
cn_m55,3.7
cn_m5a1_stuart,2.7
cn_m60a3_tts,9.0
cn_m8_greyhound,1.0
cn_m8_scott,1.3
cn_mbt2000,11.7
cn_mbt2000_sm,11.7
cn_m_41d,8.0
cn_object_122tm,8.7
cn_object_211,5.0
cn_oplot_t,12.3
cn_pgz_04a,9.3
cn_pgz_09,9.3
cn_pgz_625_fb10,12.0
cn_pgz_88,8.0
cn_plz_05,7.7
cn_plz_45,6.3
cn_plz_83,6.0
cn_plz_83_130,7.3
cn_ptl_02,9.0
cn_ptz_89,9.0
cn_pt_76,5.0
cn_qn506,10.0
cn_sdkfz_222_early,1.3
cn_su_100_1945,6.0
cn_su_76m_1943,2.0
cn_tor_m1,11.3
cn_type_58,5.7
cn_type_59,8.0
cn_type_59d,8.3
cn_type_62,6.7
cn_type_63_i,6.3
cn_type_64,5.3
cn_type_65_aa,5.7
cn_type_69,8.0
cn_type_69_2a,8.3
cn_type_69_2g,9.0
cn_type_86,8.0
cn_type_97_chi_ha,1.3
cn_type_97_kai,2.3
cn_t_26_1940,1.0
cn_t_26_no531,1.0
cn_t_34_1942,4.0
cn_t_34_85_d_5t,5.7
cn_t_34_85_zis_53_no215,5.7
cn_t_62,8.7
cn_t_80ud_478be,11.0
cn_vt_4,12.3
cn_vt_4b,12.7
cn_vt_5,11.3
cn_wma_301,9.0
cn_wz_1001,12.3
cn_wz_141,6.7
cn_wz_305,8.7
cn_zbd_04a,10.0
cn_zsd63_pg87,5.7
cn_zsl_92,6.3
cn_ztl_11,9.7
cn_zts_63_1980,7.7
cn_ztz_59a,8.0
cn_ztz_88a,9.0
cn_ztz_88b,9.0
cn_ztz_96,9.3
cn_ztz_96a,10.3
cn_ztz_96a_prot,10.3
cn_ztz_96b,11.7
cn_ztz_99,11.0
cn_ztz_99a,12.3
cn_ztz_99_w,11.0
fr_amc_34,1.0
fr_amc_35,1.3
fr_amd_35,1.0
fr_amd_35_kwk39,2.7
fr_amd_35_sa35,1.7
fr_aml_90,7.3
fr_amr_35_zt3,1.0
fr_amx_10m_acra,7.3
fr_amx_10p,6.3
fr_amx_10rc,8.3
fr_amx_13_75,6.7
fr_amx_13_75_ss11,7.0
fr_amx_13_90,7.7
fr_amx_13_chaffee,4.0
fr_amx_13_dca_40,5.0
fr_amx_13_fl_11,4.3
fr_amx_13_hot,8.3
fr_amx_30,8.0
fr_amx_30_1972,8.0
fr_amx_30_acra,8.3
fr_amx_30_auf_1,6.7
fr_amx_30_b2,8.7
fr_amx_30_b2_brenus,8.7
fr_amx_30_dca,8.7
fr_amx_30_roland,9.7
fr_amx_30_super,9.3
fr_amx_32,9.3
fr_amx_32_105,9.3
fr_amx_40,10.0
fr_amx_50,7.7
fr_amx_50_1950,8.0
fr_amx_50_foch,7.3
fr_amx_50_surbaisse,7.7
fr_amx_50_surblinde,7.7
fr_amx_elc_901,6.0
fr_amx_elc_bis,6.0
fr_amx_m4,7.0
fr_amx_vtt_dca,3.0
fr_arl_44,5.3
fr_arl_44_acl1,3.7
fr_arl_44_mod,5.3
fr_b1_bis,2.3
fr_b1_ter,2.7
fr_bat_chat_25t,8.0
fr_cckw_353_bofors,2.7
fr_char_2c,2.3
fr_char_2c_bis,1.7
fr_citroen_kegresse_p4t,1.3
fr_crotale_ng,12.0
