id,name,country,rank,br_realistic
cn_al_khalid_1,"Al-Khalid-I",china,7,11.7
cn_antelope_tc_1l_ads,"Antelope",china,7,10.0
cn_cm11,"CM11",china,6,9.3
cn_cm_25,"CM25",china,6,8.7
cn_cm_34,"CM34",china,6,9.3
cn_fk_2000,"FK-2000",china,8,12.0
cn_gmc_cckw_353_m45_quad,"CCKW 353 (M45)",china,2,2.3
cn_hj_9,"AFT09",china,6,9.0
cn_hq_11,"HQ11",china,8,12.7
cn_hq_17,"HQ17",china,7,11.7
cn_isu_122,"␗ISU-122",china,3,5.3
cn_isu_152,"␗ISU-152",china,3,4.7
cn_is_2_1943,"␗IS-2",china,4,6.0
cn_is_2_1943_no402,"IS-2 No.402",china,4,6.0
cn_is_2_1944,"␗IS-2 (1944)",china,4,6.3
cn_lvt_4_zis_2,"LVT(A)(4) (ZiS-2)",china,2,2.3
cn_m10,"␗M10 GMC",china,2,3.3
cn_m113a1_tow,"␗M113A1 (TOW)",china,5,8.3
cn_m18_hellcat,"␗M18 GMC",china,4,6.0
cn_m1a2t,"M1A2T",china,8,12.7
cn_m24_chaffee,"␗M24",china,3,4.0
cn_m36,"␗M36 GMC",china,3,5.3
cn_m3a3_stuart,"␗M3A3 Stuart",china,2,2.7
cn_m3a3_stuart_1st_ptg,"␗M3A3 (1st PTG)",china,2,2.7
cn_m41_a3_walker_bulldog,"␗M41A3",china,3,5.7
cn_m42_duster,"␗M42",china,3,4.0
cn_m48a1_patton_iii,"␗M48A1",china,5,7.7
cn_m4a1_76w_sherman,"␗M4A1 (75) W",china,3,4.0
cn_m4a4_sherman,"␗M4A4",china,2,3.7
cn_m4a4_sherman_1st_ptg,"␗M4A4 (1st PTG)",china,2,3.7
cn_m55,"␗M55",china,3,3.7
cn_m5a1_stuart,"␗M5A1",china,2,2.7
cn_m60a3_tts,"␗M60A3 TTS",china,6,9.0
cn_m8_greyhound,"␗M8 LAC",china,1,1.0
cn_m8_scott,"␗M8 HMC",china,1,1.3
cn_mbt2000,"MBT-2000",china,7,11.7
cn_mbt2000_sm,"◍MBT-2000",china,7,11.7
