id,name,country,rank,br_realistic
ah_1f,"AH-1F",usa,6,9.7
ah_64a,"AH-64A",usa,6,11.3
ah_64d,"AH-64D",usa,7,11.7
ah_mk1,"AH Mk.1 Apache",britain,7,11.7
g_lynx,"G-LYNX",britain,6,10.7
ah_2_rooivalk,"Rooivalk Mk1F CSH",britain,6,11.7
ah_1w_china,"␗AH-1W",china,6,11.0
h_34_france,"▄H-34",france,5,8.0
iar_316b,"IAR 316B",france,5,8.3
bo_105pah1,"BO 105 PAH-1",germany,6,9.3
bo_105pah1_a1,"BO 105 PAH-1A1",germany,6,9.3
bo_105cb2,"BO 105 CB-2",germany,5,9.3
ah_1g_iaf,"Tzefa A",israel,5,7.7
ah_1q_iaf,"Tzefa B",israel,6,9.0
ah_1f_iaf,"Tzefa D/E",israel,6,9.7
ah_64a_iaf,"Peten",israel,6,11.3
ah_64d_i_saraph,"Saraph",israel,7,12.7
ah_60_iaf,"AH-60",israel,7,12.7
ah_64a_peten_iaf,"AH-64A Peten",israel,6,11.3
ab_205a_1,"AB 205 A-1",italy,5,7.7
a_109_eoa2,"A.109EOA-2",italy,6,8.7
a_129_cbt,"A129CBT",italy,7,11.0
a_129_d,"AH-129D",italy,7,12.7
a_129_a,"A-129 International (p)",italy,6,11.0
ah_1s_early,"▅AH-1E",japan,6,9.3
ah_1s_late,"AH-1S",japan,6,9.7
ah_64d_japan,"AH-64DJP",japan,7,11.3
ah_1s,"AH-1S Kisarazu",japan,6,9.7
hkp3c,"HKP3C",sweden,5,7.7
hkp2,"HKP2",sweden,5,8.3
hkp9a_cb2,"HKP9A",sweden,6,9.3
hkp9a_cb3_fc,"HKP9A (FC)",sweden,6,9.3
ahs,"AHS",sweden,7,11.3
ah_1g,"AH-1G",usa,5,7.7
ah_1w,"AH-1W",usa,6,11.0
ah_1z,"AH-1Z",usa,7,12.0
ah_6m,"AH-6M",usa,6,10.3
h_34,"H-34",usa,5,8.0
ah_64a_greece_usa,"▃AH-64A (GR)",usa,6,11.3
ah_64a_peten,"▃AH-64A Peten",usa,6,11.3
ah_64d_netherlands,"◘AH-64D",france,7,11.3
ah_64e,"AH-64E",usa,7,13.0
ah_64e_britain,"AH Mk.2 Apache",britain,7,13.0
ah_64e_china,"␗AH-64E",china,7,13.0
