id,br_sim
ah_1f,9.7
ah_64a,10.3
ah_64d,10.7
ah_mk1,10.7
g_lynx,10.0
ah_2_rooivalk,10.7
ah_1w_china,10.7
h_34_france,8.3
iar_316b,9.3
bo_105pah1,9.7
bo_105pah1_a1,9.7
bo_105cb2,9.7
ah_1g_iaf,8.0
ah_1q_iaf,9.0
ah_1f_iaf,9.7
ah_64a_iaf,10.3
ah_64d_i_saraph,10.7
ah_60_iaf,10.7
ah_64a_peten_iaf,10.3
ab_205a_1,8.0
a_109_eoa2,9.3
a_129_cbt,9.7
a_129_d,11.7
a_129_a,9.7
ah_1s_early,9.3
ah_1s_late,9.7
ah_64d_japan,10.3
ah_1s,9.7
hkp3c,7.7
hkp2,8.7
hkp9a_cb2,9.7
hkp9a_cb3_fc,10.0
ahs,10.3
ah_1g,8.0
ah_1w,10.7
ah_1z,10.0
ah_6m,10.0
h_34,8.3
ah_64a_greece_usa,10.3
ah_64a_peten,10.3
ah_64d_netherlands,10.7
ah_64e,11.0
ah_64e_britain,11.0
ah_64e_china,11.0
ah_64e_netherlands,11.0
ah_64e_indonesia,11.0
ah_56a,9.7
ah_64d_lightweight_japan,10.3
aw_159,10.7
h145m,12.7
scout_ah_mk1,8.7
lynx_ah_mk1,10.0
sa_342l_china,8.7
oh_58d_china,10.3
sa_316b,9.0
sa_341f,9.7
sa_342m,9.7
tiger_had_france,10.7
tiger_had_block2_france,11.7
sa_313b_france,8.7
tiger_hap_france,10.3
sa_313b,8.7
tiger_uht,10.7
mi_8tb,8.7
mi_24p_german,9.7
mi_24p_german_hfs80,9.7
md_500_tow_late,8.7
mi_24d_hungary,9.3
mi_24v_hungary,9.7
t_129_atak,9.7
mi_24p_hungary,9.7
uh_1b_japan,8.0
mi_28a_sweden,10.0
uh_1b,8.7
uh_1c,8.7
oh_58d,10.3
mh_60l_dap,10.7
uh_1c_xm_30,8.7
mi_4av,8.3
mi_24a,9.0
mi_24v,9.7
mi_24p,9.7
mi_35m,10.3
mi_28n,10.7
mi_28nm,11.0
mi_8tv,8.7
mi_8amtsh,9.7
ka_29,9.7
ka_52,10.7
mi_24d,9.3
ka_50,10.3
super_hind_mk3,10.3
mi_35m_pakistan,10.3
mi_8amtsh_vn,10.7
tiger_hac_france,11.7
tiger_had_spain,10.7
rah_66,10.3
mi_35p_indonesia,9.7
mi_35p,10.7
mi_24d_german,9.3
wasp_has_mk1,9.0
wessex_mk5,9.0
z_11wa,8.7
z_9w,9.3
z_9wa,9.7
z_19,10.3
z_10,10.7
z_19e,10.3
uh_1d,8.7
yah_64,10.3
z_10me,11.0
z_10a,10.7
